# dataset name                analysis name               signal region                                               sig95(exp)     sig95(obs)        ||    efficiency     stat           
defaultset                    atlas_exot_2016_27            EM1                                                         70.9652989     72.2213466      ||    0.0017699      0.0001544      
defaultset                    atlas_exot_2016_27            EM2                                                         17.9493866     27.2920116      ||    0.0008865      0.0001093      
defaultset                    atlas_exot_2016_27            EM3                                                         106.2514717    173.5168043     ||    0.0004896      0.0000813      
defaultset                    atlas_exot_2016_27            EM4                                                         70.1192643     77.9501240      ||    0.0004899      0.0000813      
defaultset                    atlas_exot_2016_27            EM5                                                         22.6514976     32.1349715      ||    0.0005034      0.0000824      
defaultset                    atlas_exot_2016_27            EM6                                                         -1             -1              ||    0.0000000      0.0000000      
defaultset                    atlas_exot_2016_27            EM7                                                         -1             -1              ||    0.0000000      0.0000000      
defaultset                    atlas_exot_2016_27            EM8                                                         -1             -1              ||    0.0000000      0.0000000      
defaultset                    atlas_exot_2016_27            EM9                                                         -1             -1              ||    0.0000000      0.0000000      
defaultset                    atlas_exot_2016_27            IM1                                                         74.1473059     125.5055537     ||    0.0042417      0.0002388      
defaultset                    atlas_exot_2016_27            IM2                                                         74.8706367     133.5936235     ||    0.0024718      0.0001824      
defaultset                    atlas_exot_2016_27            IM3                                                         65.5539607     121.9052882     ||    0.0015852      0.0001462      
defaultset                    atlas_exot_2016_27            IM4                                                         50.2772546     84.1097327      ||    0.0010956      0.0001215      
defaultset                    atlas_exot_2016_27            IM5                                                         32.0784928     70.8021353      ||    0.0006057      0.0000904      
defaultset                    atlas_exot_2016_27            IM6                                                         92.4790641     190.8145130     ||    0.0001023      0.0000372      
defaultset                    atlas_exot_2016_27            IM7                                                         53.3559719     75.7989769      ||    0.0001023      0.0000372      
defaultset                    atlas_exot_2016_27            IM8                                                         33.7219415     48.9813172      ||    0.0001023      0.0000372      
defaultset                    atlas_exot_2016_27            IM9                                                         21.5623649     22.3217330      ||    0.0001023      0.0000372      
defaultset                    atlas_exot_2016_27            IM10                                                        14.9324400     16.3578164      ||    0.0001023      0.0000372      

