# analysis name               signal region                                               sig95(exp)     sig95(obs)        ||    efficiency     stat           
atlas_exot_2016_27            EM1                                                         75.6613963     76.9692213      ||    0.0016631      0.0001497      
atlas_exot_2016_27            EM2                                                         19.9324739     30.2360118      ||    0.0008005      0.0001039      
atlas_exot_2016_27            EM3                                                         265.6874149    434.0283204     ||    0.0001954      0.0000514      
atlas_exot_2016_27            EM4                                                         38.1853402     42.5227494      ||    0.0008958      0.0001099      
atlas_exot_2016_27            EM5                                                         58.1868259     82.9913386      ||    0.0001960      0.0000514      
atlas_exot_2016_27            EM6                                                         -1             -1              ||    0.0000000      0.0000000      
atlas_exot_2016_27            EM7                                                         -1             -1              ||    0.0000000      0.0000000      
atlas_exot_2016_27            EM8                                                         -1             -1              ||    0.0000000      0.0000000      
atlas_exot_2016_27            EM9                                                         -1             -1              ||    0.0000000      0.0000000      
atlas_exot_2016_27            IM1                                                         81.8490404     138.5483646     ||    0.0038531      0.0002276      
atlas_exot_2016_27            IM2                                                         84.3104601     151.0388615     ||    0.0021900      0.0001717      
atlas_exot_2016_27            IM3                                                         74.9258653     138.9663542     ||    0.0013895      0.0001369      
atlas_exot_2016_27            IM4                                                         46.3436782     77.0269723      ||    0.0011941      0.0001269      
atlas_exot_2016_27            IM5                                                         65.2796616     143.9757386     ||    0.0002983      0.0000634      
atlas_exot_2016_27            IM6                                                         92.4219573     190.9107381     ||    0.0001023      0.0000372      
atlas_exot_2016_27            IM7                                                         53.2386520     75.6344417      ||    0.0001023      0.0000372      
atlas_exot_2016_27            IM8                                                         33.5591245     49.0182618      ||    0.0001023      0.0000372      
atlas_exot_2016_27            IM9                                                         21.6107825     22.3596421      ||    0.0001023      0.0000372      
atlas_exot_2016_27            IM10                                                        14.9256326     16.2814257      ||    0.0001023      0.0000372      

